"WaterID","LocID","Date","season","WaterID.season","Microscopy","WaterTemp.factor","Ca.factor","pH.factor","WaterSize.factor"
1,855,"2013-07-23","1","1.1",0,"mid","high","high","small"
1,857,"2013-07-23","1","1.1",0,"mid","high","high","small"
1,856,"2013-07-23","1","1.1",0,"mid","high","high","small"
1,855,"2014-07-22","2","1.2",0,"mid","high","high","small"
1,857,"2014-07-22","2","1.2",0,"mid","high","high","small"
1,856,"2014-07-22","2","1.2",0,"mid","high","high","small"
1,855,"2014-09-09","2","1.2",0,"mid","high","high","small"
1,857,"2014-09-09","2","1.2",0,"mid","high","high","small"
1,856,"2014-09-09","2","1.2",0,"mid","high","high","small"
1,855,"2015-08-07","3","1.3",0,"mid","high","high","small"
1,857,"2015-08-07","3","1.3",0,"mid","high","high","small"
1,856,"2015-08-07","3","1.3",0,"mid","high","high","small"
1,855,"2015-09-30","3","1.3",0,"mid","high","high","small"
1,857,"2015-09-30","3","1.3",0,"mid","high","high","small"
1,856,"2015-09-30","3","1.3",0,"mid","high","high","small"
1,855,"2016-07-27","4","1.4",0,"mid","high","high","small"
1,856,"2016-07-27","4","1.4",0,"mid","high","high","small"
1,857,"2016-07-27","4","1.4",0,"mid","high","high","small"
1,855,"2016-08-29","4","1.4",0,"mid","high","high","small"
1,856,"2016-08-29","4","1.4",0,"mid","high","high","small"
1,857,"2016-08-29","4","1.4",0,"mid","high","high","small"
1,855,"2017-08-14","5","1.5",0,"mid","high","high","small"
1,856,"2017-08-14","5","1.5",0,"mid","high","high","small"
1,857,"2017-08-14","5","1.5",0,"mid","high","high","small"
1,855,"2018-08-27","6","1.6",0,"mid","high","high","small"
1,856,"2018-08-27","6","1.6",0,"mid","high","high","small"
1,857,"2018-08-27","6","1.6",0,"mid","high","high","small"
1,856,"2020-01-28","8","1.8",0,"low","high","high","small"
1,857,"2020-01-28","8","1.8",0,"low","high","high","small"
1,855,"2020-01-28","8","1.8",0,"low","high","high","small"
6,1073,"2013-10-24","2","6.2",0,"low","high","high","small"
6,1073,"2013-10-24","2","6.2",0,"low","high","high","small"
6,1073,"2013-10-24","2","6.2",0,"low","high","high","small"
6,1073,"2013-10-24","2","6.2",0,"low","high","high","small"
6,1073,"2013-10-24","2","6.2",0,"low","high","high","small"
6,1067,"2014-06-12","2","6.2",0,"mid","high","high","small"
6,1067,"2014-06-12","2","6.2",0,"mid","high","high","small"
6,1067,"2014-06-12","2","6.2",0,"mid","high","high","small"
6,1067,"2014-06-12","2","6.2",0,"mid","high","high","small"
6,1067,"2014-06-12","2","6.2",0,"mid","high","high","small"
6,1071,"2015-06-24","3","6.3",0,"mid","high","high","small"
6,1069,"2015-06-24","3","6.3",0,"mid","high","high","small"
6,1066,"2015-06-24","3","6.3",0,"mid","high","high","small"
6,1070,"2016-06-16","4","6.4",0,"mid","high","high","small"
6,1072,"2016-06-16","4","6.4",0,"mid","high","high","small"
6,1068,"2016-06-16","4","6.4",0,"mid","high","high","small"
6,1072,"2016-06-16","4","6.4",0,"mid","high","high","small"
6,1073,"2016-07-20","4","6.4",0,"mid","high","high","small"
6,1073,"2016-07-20","4","6.4",0,"mid","high","high","small"
6,1073,"2016-07-20","4","6.4",0,"mid","high","high","small"
6,1070,"2016-08-11","4","6.4",0,"mid","high","high","small"
6,1072,"2016-08-11","4","6.4",0,"mid","high","high","small"
6,1068,"2016-08-11","4","6.4",0,"mid","high","high","small"
6,1072,"2016-08-11","4","6.4",0,"mid","high","high","small"
6,1070,"2016-09-12","4","6.4",0,"mid","high","high","small"
6,1072,"2016-09-12","4","6.4",0,"mid","high","high","small"
6,1068,"2016-09-12","4","6.4",0,"mid","high","high","small"
6,1066,"2017-07-19","5","6.5",0,"mid","high","high","small"
6,1066,"2017-07-19","5","6.5",0,"mid","high","high","small"
6,1066,"2018-06-06","6","6.6",0,"mid","high","high","small"
6,1066,"2020-06-18","8","6.8",0,"mid","high","high","small"
7,1189,"2013-06-24","1","7.1",0,"mid","high","high","small"
7,1189,"2013-06-24","1","7.1",0,"mid","high","high","small"
7,1189,"2013-06-24","1","7.1",0,"mid","high","high","small"
7,1189,"2013-06-24","1","7.1",0,"mid","high","high","small"
7,1189,"2013-06-24","1","7.1",0,"mid","high","high","small"
7,1192,"2015-06-30","3","7.3",0,"mid","high","high","small"
7,1190,"2015-06-30","3","7.3",0,"mid","high","high","small"
7,1191,"2016-06-20","4","7.4",0,"mid","high","high","small"
7,1192,"2016-06-20","4","7.4",0,"mid","high","high","small"
7,1191,"2016-07-14","4","7.4",0,"mid","high","high","small"
7,1190,"2017-08-22","5","7.5",0,"mid","high","high","small"
7,1190,"2017-08-22","5","7.5",0,"mid","high","high","small"
7,1910,"2017-08-22","5","7.5",0,"mid","high","high","small"
7,1193,"2018-07-17","6","7.6",0,"mid","high","high","small"
7,1193,"2018-07-17","6","7.6",0,"mid","high","high","small"
7,1193,"2018-07-17","6","7.6",0,"mid","high","high","small"
7,1191,"2019-08-01","7","7.7",0,"mid","high","high","small"
7,1190,"2019-08-01","7","7.7",0,"mid","high","high","small"
7,1190,"2020-07-20","8","7.8",0,"mid","high","high","small"
7,1191,"2020-07-20","8","7.8",0,"mid","high","high","small"
7,1190,"2020-07-20","8","7.8",0,"mid","high","high","small"
8,283,"2013-08-15","1","8.1",0,"mid","high","high","large"
8,283,"2013-08-15","1","8.1",0,"mid","high","high","large"
8,283,"2013-08-15","1","8.1",0,"mid","high","high","large"
8,283,"2014-08-14","2","8.2",0,"mid","high","high","large"
8,283,"2014-08-14","2","8.2",0,"mid","high","high","large"
8,283,"2014-08-14","2","8.2",0,"mid","high","high","large"
8,283,"2016-08-18","4","8.4",0,"mid","high","high","large"
8,283,"2016-08-18","4","8.4",0,"mid","high","high","large"
8,283,"2016-08-18","4","8.4",0,"mid","high","high","large"
8,281,"2017-08-10","5","8.5",0,"mid","high","high","large"
8,1872,"2017-08-10","5","8.5",0,"mid","high","high","large"
8,1873,"2017-08-10","5","8.5",0,"mid","high","high","large"
8,281,"2018-08-09","6","8.6",0,"mid","high","high","large"
8,1872,"2018-08-09","6","8.6",0,"mid","high","high","large"
8,1873,"2018-08-09","6","8.6",0,"mid","high","high","large"
8,1872,"2019-08-14","7","8.7",0,"low","high","high","large"
8,1873,"2019-08-14","7","8.7",0,"low","high","high","large"
8,281,"2019-08-14","7","8.7",0,"low","high","high","large"
8,281,"2020-08-06","8","8.8",0,"low","high","high","large"
8,1872,"2020-08-06","8","8.8",0,"low","high","high","large"
8,283,"2020-08-06","8","8.8",0,"low","high","high","large"
9,865,"2013-06-05","1","9.1",0,"mid","unknown","moderate","larger"
9,863,"2013-06-05","1","9.1",0,"mid","unknown","moderate","larger"
9,859,"2013-06-05","1","9.1",0,"mid","unknown","moderate","larger"
9,859,"2013-06-05","1","9.1",0,"mid","unknown","moderate","larger"
9,862,"2013-06-05","1","9.1",0,"mid","unknown","moderate","larger"
9,861,"2013-06-05","1","9.1",0,"mid","unknown","moderate","larger"
9,861,"2013-06-05","1","9.1",0,"mid","unknown","moderate","larger"
9,864,"2013-06-05","1","9.1",0,"mid","unknown","moderate","larger"
9,864,"2013-06-05","1","9.1",0,"mid","unknown","moderate","larger"
9,860,"2013-06-05","1","9.1",0,"mid","unknown","moderate","larger"
9,868,"2013-06-05","1","9.1",0,"mid","unknown","moderate","larger"
9,867,"2013-06-05","1","9.1",0,"mid","unknown","moderate","larger"
9,865,"2013-11-14","2","9.2",0,"mid","unknown","moderate","larger"
9,863,"2013-11-14","2","9.2",0,"mid","unknown","moderate","larger"
9,859,"2013-11-14","2","9.2",0,"mid","unknown","moderate","larger"
9,862,"2013-11-14","2","9.2",0,"mid","unknown","moderate","larger"
9,861,"2013-11-14","2","9.2",0,"mid","unknown","moderate","larger"
